Date,Open,High,Low,Close,Volume
2021.07.01 09:00,135952.0,136171.0,135835.0,135963.0,1649644
2021.07.01 10:00,135963.0,136272.0,135099.0,135232.0,4496838
2021.07.01 11:00,135237.0,135371.0,134480.0,134917.0,3719776
2021.07.01 12:00,134912.0,135024.0,134122.0,134533.0,2694883
2021.07.01 13:00,134533.0,134731.0,134266.0,134469.0,1824556
2021.07.01 14:00,134469.0,134629.0,133904.0,133984.0,2157054
2021.07.01 15:00,133984.0,134384.0,133872.0,133962.0,2316570
2021.07.01 16:00,133968.0,134720.0,133957.0,134629.0,1902332
2021.07.01 17:00,134624.0,134843.0,134480.0,134506.0,859217
2021.07.02 09:00,134741.0,135728.0,134506.0,135637.0,2453009
2021.07.02 10:00,135637.0,135899.0,135264.0,135771.0,3106493
2021.07.02 11:00,135771.0,136149.0,135029.0,136000.0,3326007
2021.07.02 12:00,136000.0,136299.0,135909.0,136203.0,1757002
2021.07.02 13:00,136197.0,136331.0,135973.0,136144.0,1376795
2021.07.02 14:00,136144.0,136629.0,136069.0,136539.0,1566758
2021.07.02 15:00,136544.0,136907.0,136512.0,136709.0,1709601
2021.07.02 16:00,136704.0,136886.0,136571.0,136875.0,1385017
2021.07.02 17:00,136875.0,137014.0,136661.0,137003.0,590681
2021.07.05 09:00,136555.0,136806.0,136293.0,136704.0,1510941
2021.07.05 10:00,136704.0,136715.0,135808.0,135829.0,2942154
2021.07.05 11:00,135829.0,135947.0,135504.0,135915.0,2025355
2021.07.05 12:00,135915.0,136267.0,135867.0,136032.0,1725925
2021.07.05 13:00,136037.0,136395.0,136032.0,136320.0,1280110
2021.07.05 14:00,136320.0,136464.0,135861.0,136011.0,1347969
2021.07.05 15:00,136011.0,136384.0,135648.0,136272.0,1516574
2021.07.05 16:00,136267.0,136341.0,135925.0,136069.0,1097747
2021.07.05 17:00,136069.0,136293.0,135877.0,136235.0,681939
2021.07.06 09:00,136048.0,136155.0,135291.0,135371.0,2518472
2021.07.06 10:00,135371.0,135408.0,134928.0,135141.0,3564377
2021.07.06 11:00,135147.0,135179.0,134128.0,134176.0,3676051
2021.07.06 12:00,134176.0,134715.0,134144.0,134373.0,2235157
2021.07.06 13:00,134378.0,134485.0,133914.0,134112.0,2059664
2021.07.06 14:00,134106.0,134432.0,133994.0,134133.0,1894811
2021.07.06 15:00,134133.0,134133.0,133701.0,133994.0,1994264
2021.07.06 16:00,133994.0,134144.0,133813.0,133856.0,1461961
2021.07.06 17:00,133856.0,133973.0,133674.0,133738.0,520474
2021.07.07 09:00,134400.0,135323.0,134314.0,135088.0,2294708
2021.07.07 10:00,135088.0,135424.0,134709.0,134939.0,3735977
2021.07.07 11:00,134939.0,134955.0,134069.0,134656.0,3261932
2021.07.07 12:00,134650.0,135456.0,134613.0,135243.0,2472736
2021.07.07 13:00,135243.0,135771.0,135051.0,135680.0,1958234
2021.07.07 14:00,135675.0,135973.0,135536.0,135909.0,1651638
2021.07.07 15:00,135909.0,136283.0,135744.0,136075.0,2061620
2021.07.07 16:00,136069.0,136219.0,135899.0,136165.0,1446990
2021.07.07 17:00,136165.0,136256.0,135909.0,135909.0,602446
2021.07.08 09:00,134080.0,134090.0,133274.0,133413.0,2506844
2021.07.08 10:00,133418.0,134245.0,133322.0,133781.0,3697829
2021.07.08 11:00,133781.0,133792.0,133061.0,133680.0,3442770
2021.07.08 12:00,133674.0,134699.0,133669.0,134629.0,2598220
2021.07.08 13:00,134629.0,134752.0,134357.0,134613.0,1578435
2021.07.08 14:00,134613.0,134891.0,134005.0,134208.0,1972037
2021.07.08 15:00,134208.0,134277.0,133632.0,134101.0,2096270
2021.07.08 16:00,134106.0,134357.0,133722.0,134325.0,2064362
2021.07.08 17:00,134330.0,134341.0,134074.0,134101.0,719881
2021.07.12 09:00,135008.0,135301.0,134592.0,135045.0,1661894
2021.07.12 10:00,135045.0,135611.0,135019.0,135424.0,3353418
2021.07.12 11:00,135429.0,135728.0,135200.0,135664.0,2903916
2021.07.12 12:00,135664.0,136224.0,135525.0,136160.0,2188915
2021.07.12 13:00,136155.0,136528.0,136085.0,136453.0,1635620
2021.07.12 14:00,136453.0,136800.0,136379.0,136699.0,1622898
2021.07.12 15:00,136693.0,136896.0,136629.0,136731.0,1603179
2021.07.12 16:00,136736.0,136816.0,136613.0,136661.0,1557843
2021.07.12 17:00,136661.0,137088.0,136597.0,137088.0,776238
2021.07.13 09:00,136741.0,136763.0,135941.0,135973.0,2360507
2021.07.13 10:00,135973.0,136437.0,135744.0,135829.0,3636172
2021.07.13 11:00,135829.0,136368.0,135408.0,135472.0,3176534
2021.07.13 12:00,135472.0,136059.0,135296.0,136053.0,2315431
2021.07.13 13:00,136053.0,136741.0,135856.0,136485.0,2073073
